"key","en","ar"
"sustainabilityPage.principles.quality.title","Quality Over Claims","الجودة أولاً"
"sustainabilityPage.principles.regional.description","Supporting MENA recycling infrastructure and diverting post-consumer waste from landfills.","دعم بنية تحتية لإعادة التدوير في المنطقة وتحويل النفايات الاستهلاكية عن المدافن."
"sustainabilityPage.principles.regional.title","Regional Impact","أثر إقليمي"
"sustainabilityPage.principles.traceable.description","Every batch is documented so you know the exact origin and process.","كل دفعة موثقة لتعرف مصدرها وكيفية معالجتها."
"sustainabilityPage.principles.traceable.title","Traceable Sourcing","توريد قابل للتتبع"
"sustainabilityPage.principlesTitle","Our Sustainability Principles","مبادئ الاستدامة لدينا"
"sustainabilityPage.title","Sustainability - Recycled Polymers for a Circular Economy","الاستدامة - بوليمرات معاد تدويرها لاقتصاد دائري"
"whyUs.batch.description","Every shipment meets spec. No surprises, no rework, no excuses.","كل شحنة تطابق المواصفات. لا مفاجآت، لا إعادة عمل، لا أعذار."
"whyUs.batch.title","Batch Consistency","اتساق الدفعات"
"whyUs.rfq.description","Quote requests processed in under 48 hours. No WhatsApp chaos.","معالجة طلبات الأسعار في أقل من 48 ساعة. بدون فوضى واتساب."
"whyUs.rfq.title","Digital RFQ Process","عملية طلب أسعار رقمية"
"whyUs.sourcing.description","Traceable material origins, certifications on demand, no greenwashing.","أصول مواد قابلة للتتبع، شهادات عند الطلب، بدون غسل أخضر."
"whyUs.sourcing.title","Transparent Sourcing","التوريد الشفاف"
"whyUs.subtitle","We're not another commodity trader. We're a technical partner focused on solving the real problems in recycled polymer supply.","نحن لسنا تاجر سلع آخر. نحن شريك تقني يركز على حل المشاكل الحقيقية في توريد البوليمر المُعاد تدويره."
"whyUs.support.description","Material selection guidance, processing parameters, troubleshooting.","إرشادات اختيار المواد، معايير المعالجة، استكشاف الأخطاء وإصلاحها."
"whyUs.support.title","Technical Support","الدعم الفني"
"whyUs.title","Why Leading Manufacturers Choose Us Over Traditional Traders","لماذا يختارنا كبار المصنعين بدلاً من التجار التقليديين"
